Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
61.989999999999995,238.33,30.15,0.0,1.0,0.0,1.0,1
84.97,339.36,32.59,0.0,1.0,1.0,0.0,0
92.46,214.57,116.61,0.0,1.0,1.0,0.0,0
12.58,259.48,88.12,0.0,1.0,1.0,0.0,0
34.97,392.01,164.88,0.0,1.0,1.0,0.0,0
51.99,239.48000000000002,95.83,0.0,1.0,1.0,0.0,0
36.43,157.33,208.54,0.0,1.0,1.0,0.0,0
28.89,288.27,249.93,0.0,1.0,1.0,0.0,0
59.69,179.9,109.31000000000002,0.0,1.0,0.0,1.0,1
7.04,90.76,3.39,0.0,1.0,1.0,0.0,0
37.77,213.68,129.79,0.0,1.0,1.0,0.0,0
27.62,110.94,35.07,0.0,1.0,1.0,0.0,0
